fecha;registro
2013-08-27;87,4178
2013-08-28;38,0466
2013-08-29;52,6533
2013-08-30;64,9958
2013-08-31;75,5321
2013-09-01;162,1180
2013-09-02;140,5430
2013-09-03;122,6670
2013-09-04;76,1354
2013-09-05;40,0999
2013-09-06;38,1141
2013-09-07;36,0859
2013-09-08;38,6964
2013-09-09;31,5832
2013-09-10;59,6193
2013-09-11;50,5929
2013-09-12;24,8550
2013-09-13;31,2783
2013-09-14;51,6525
2013-09-15;46,7712
2013-09-16;84,2303
2013-09-17;56,2762
2013-09-18;39,6450
2013-09-19;32,3438
2013-09-20;40,1462
2013-09-21;31,3033
2013-09-22;25,6992
2013-09-23;44,3100
2013-09-24;65,2288
2013-09-25;54,5704
2013-09-26;41,3933
2013-09-27;50,4400
2013-09-28;49,6100
2013-09-29;36,9517
2013-09-30;44,6758
2013-10-01;41,4546
2013-10-02;27,4861
2013-10-03;46,1967
2013-10-04;36,1729
2013-10-05;32,3962
2013-10-06;32,6212
2013-10-07;38,8087
2013-10-08;22,0991
2013-10-09;33,3212
2013-10-10;36,0995
2013-10-11;36,5100
2013-10-12;26,5096
2013-10-13;26,1138
2013-10-14;43,4234
2013-10-15;30,6811
2013-10-16;33,1617
2013-10-17;33,5121
2013-10-18;26,5104
2013-10-19;25,7867
2013-10-20;16,6057
2013-10-21;18,2400
2013-10-22;14,7826
2013-10-23;16,1981
2013-10-24;26,4804
2013-10-25;36,4225
2013-10-26;27,6166
2013-10-27;31,0337
2013-10-28;50,1654
2013-10-29;26,3538
2013-10-30;39,5904
2013-10-31;33,8184
2013-11-01;21,6170
2013-11-02;17,0925
2013-11-03;17,6721
2013-11-04;19,3359
2013-11-05;23,9387
2013-11-06;27,3161
2013-11-07;18,4529
2013-11-08;18,7350
2013-11-09;26,6917
2013-11-10;24,5650
2013-11-11;22,2684
2013-11-12;24,1492
2013-11-13;33,6434
2013-11-14;20,3149
2013-11-15;26,9746
2013-11-16;23,1846
2013-11-17;26,7133
2013-11-18;26,9305
2013-11-19;31,6358
2013-11-20;41,4121
2013-11-21;43,0137
2013-11-22;40,3116
2013-11-23;32,0237
2013-11-24;16,4658
2013-11-25;26,1228
2013-11-26;40,8445
2013-11-27;36,6200
2013-11-28;19,9117
2013-11-29;27,2854
2013-11-30;25,6255
2013-12-01;26,4908
2013-12-02;29,9225
2013-12-03;44,4046
2013-12-04;30,6983
2013-12-05;25,0446
2013-12-06;34,4342
2013-12-07;48,5129
2013-12-08;47,9084
2013-12-09;27,0440
2013-12-10;36,6151
2013-12-11;36,1896
2013-12-12;33,0975
2013-12-13;32,0350
2013-12-14;38,9846
2013-12-15;30,0350
2013-12-16;43,2537
2013-12-17;38,0604
2013-12-18;38,1466
2013-12-19;43,0963
2013-12-20;38,5859
2013-12-21;35,5372
2013-12-22;36,3796
2013-12-23;56,2795
2013-12-24;33,5675
2013-12-25;38,1633
2013-12-26;30,0292
2013-12-27;35,6525
2013-12-28;39,6646
2013-12-29;27,3634
2013-12-30;33,1759
2013-12-31;30,7125
2014-01-01;33,1914
2014-01-02;42,0113
2014-01-03;35,6019
2014-01-04;84,1954
2014-01-05;33,5384
2014-01-06;45,5963
2014-01-07;50,9517
2014-01-08;38,4875
2014-01-09;29,1688
2014-01-10;30,9100
2014-01-11;37,9037
2014-01-12;39,8158
2014-01-13;53,8604
2014-01-14;71,3009
2014-01-15;76,4716
2014-01-16;43,0787
2014-01-17;43,5454
2014-01-18;31,9129
2014-01-19;24,8271
2014-01-20;26,5437
2014-01-21;25,5592
2014-01-22;28,7504
2014-01-23;19,6579
2014-01-24;14,9358
2014-01-25;22,4667
2014-01-26;28,0546
2014-01-27;32,0400
2014-01-28;25,2042
2014-01-29;28,5217
2014-01-30;20,8334
2014-01-31;24,4237
2014-02-01;21,2892
2014-02-02;17,1198
2014-02-03;21,0342
2014-02-04;24,7925
2014-02-05;15,0061
2014-02-06;14,4810
2014-02-07;18,8209
2014-02-08;19,1191
2014-02-09;16,0416
2014-02-10;30,2521
2014-02-11;30,6062
2014-02-12;34,0517
2014-02-13;41,8100
2014-02-14;38,3513
2014-02-15;41,9542
2014-02-16;36,5908
2014-02-17;37,4279
2014-02-18;31,8542
2014-02-19;28,3204
2014-02-20;41,3217
2014-02-21;32,8929
2014-02-22;38,4642
2014-02-23;34,3513
2014-02-24;44,4813
2014-02-25;38,6216
2014-02-26;48,1804
2014-02-27;44,9341
2014-02-28;36,1255
2014-03-01;34,5783
2014-03-02;42,7770
2014-03-03;37,5850
2014-03-04;34,0825
2014-03-05;33,4446
2014-03-06;36,7350
2014-03-07;48,1251
2014-03-08;36,2813
2014-03-09;16,7790
2014-03-10;24,9208
2014-03-11;29,3029
2014-03-12;25,6429
2014-03-13;30,5800
2014-03-14;49,7571
2014-03-15;29,1183
2014-03-16;21,0500
2014-03-17;16,7085
2014-03-18;45,3752
2014-03-19;51,1146
2014-03-20;59,4116
2014-03-21;53,7825
2014-03-22;40,2316
2014-03-23;29,9355
2014-03-24;39,9638
2014-03-25;61,7216
2014-03-26;56,8021
2014-03-27;53,4512
2014-03-28;50,0737
2014-03-29;39,8679
2014-03-30;28,3182
2014-03-31;25,2238
2014-04-01;69,2021
2014-04-02;43,2075
2014-04-03;73,1934
2014-04-04;56,3538
2014-04-05;62,6058
2014-04-06;57,9750
2014-04-07;55,2496
2014-04-08;40,2996
2014-04-09;40,8530
2014-04-11;51,8741
2014-04-12;24,3454
2014-04-13;17,2079
2014-04-14;27,4458
2014-04-15;27,3325
2014-04-16;26,5400
2014-04-17;34,1171
2014-04-18;33,0992
2014-04-19;27,9428
2014-04-20;27,1504
2014-04-21;35,0496
2014-04-22;27,5442
2014-04-23;35,5283
2014-04-24;87,3267
2014-04-25;85,8141
2014-04-26;70,9774
2014-04-27;32,7108
2014-04-28;49,5491
2014-04-29;142,9560
2014-04-30;84,8962
2014-05-01;70,0941
2014-05-02;37,5129
2014-05-03;20,9989
2014-05-04;31,5089
2014-05-05;130,8910
2014-05-06;120,5650
2014-05-07;59,5654
2014-05-08;55,9637
2014-05-09;54,5133
2014-05-10;31,9984
2014-05-11;66,3229
2014-05-12;94,3267
2014-05-13;80,0000
2014-05-14;41,6616
2014-05-15;77,6433
2014-05-16;23,9096
2014-05-17;73,4600
2014-05-18;45,1208
2014-05-19;119,8450
2014-05-20;38,3658
2014-05-21;53,9046
2014-05-22;57,9229
2014-05-23;240,7430
2014-05-24;133,1520
2014-05-25;129,4770
2014-05-26;162,5660
2014-05-27;197,4100
2014-05-28;59,2875
2014-05-29;86,0854
2014-05-30;150,5910
2014-06-01;82,9827
2014-06-02;42,3792
2014-06-03;17,2368
2014-06-04;26,0385
2014-06-05;83,0300
2014-06-06;30,9546
2014-06-07;19,1358
2014-06-08;22,9052
2014-06-09;58,7425
2014-06-10;23,7432
2014-06-11;32,2333
2014-06-12;52,9858
2014-06-13;117,3200
2014-06-14;42,1996
2014-06-15;106,8120
2014-06-16;31,6050
2014-06-17;35,7008
2014-06-18;248,8900
2014-06-19;97,8405
2014-06-20;65,4331
2014-06-21;37,1883
2014-06-22;159,3600
2014-06-23;69,2710
2014-06-25;194,2150
2014-06-26;127,3780
2014-06-27;100,4450
2014-06-28;73,9292
2014-06-29;55,2646
2014-06-30;50,5692
2014-07-01;42,2537
2014-07-02;88,8488
2014-07-03;74,2858
2014-07-04;68,6008
2014-07-05;111,6960
2014-07-06;101,3650
2014-07-07;44,3192
2014-07-08;148,7770
2014-07-09;191,2500
2014-07-10;106,0590
2014-07-11;92,4954
2014-07-12;175,8930
2014-07-13;110,7470
2014-07-14;30,5467
2014-07-15;37,8508
2014-07-16;56,1567
2014-07-17;39,0079
2014-07-18;35,6512
2014-07-19;165,5850
2014-07-20;71,9803
2014-07-21;79,0520
2014-07-22;37,0316
2014-07-23;47,5995
2014-07-24;68,7279
2014-07-25;139,5440
2014-07-26;82,5962
2014-07-27;28,9221
2014-07-28;21,6783
2014-07-29;123,2050
2014-07-30;67,5884
2014-07-31;16,7181
2014-08-01;17,2530
2014-08-02;21,8792
2014-08-03;86,9408
2014-08-04;54,7313
2014-08-05;36,7883
2014-08-06;84,3741
2014-08-07;35,3383
2014-08-08;63,4021
2014-08-09;55,9246
2014-08-10;31,1761
2014-08-11;52,3054
2014-08-12;26,6393
2014-08-13;41,4479
2014-08-14;153,1580
2014-08-15;159,9390
2014-08-16;197,0360
2014-08-17;134,7280
2014-08-18;168,8880
2014-08-19;62,7770
2014-08-20;62,4587
2014-08-21;92,8716
2014-08-22;59,6329
2014-08-23;24,4300
2014-08-24;43,4960
2014-08-25;40,5133
2014-08-26;73,5912
2014-08-27;124,3090
2014-08-28;92,7537
2014-08-29;38,7975
2014-08-30;39,4258
2014-08-31;43,9596
2014-09-01;17,0196
2014-09-02;26,8071
2014-09-03;52,0604
2014-09-04;26,7529
2014-09-05;19,6435
2014-09-08;62,3652
2014-09-09;88,3387
2014-09-10;48,7479
2014-09-11;172,8650
2014-09-12;48,6216
2014-09-13;53,9079
2014-09-14;47,0133
2014-09-15;49,4150
2014-09-16;43,0621
2014-09-17;64,3446
2014-09-18;47,7792
2014-09-19;28,9556
2014-09-20;30,1729
2014-09-21;44,9508
2014-09-22;48,5185
2014-09-23;25,5175
2014-09-24;21,4058
2014-09-25;16,8110
2014-09-26;36,9858
2014-09-27;30,8275
