fecha;registro
2013-08-21;58,9078
2013-08-22;28,8005
2013-08-23;39,8578
2013-08-24;121,7015
2013-08-25;173,5575
2013-08-26;155,7020
2013-08-27;84,0546
2013-08-28;34,3581
2013-08-29;44,8533
2013-08-30;52,8174
2013-08-31;58,7238
2013-09-01;112,2489
2013-09-02;116,5998
2013-09-03;125,1045
2013-09-04;69,0136
2013-09-05;30,7366
2013-09-06;31,2014
2013-09-07;26,4463
2013-09-08;32,0010
2013-09-09;25,8727
2013-09-10;47,1357
2013-09-11;47,8235
2013-09-12;25,8811
2013-09-13;30,3601
2013-09-14;44,0761
2013-09-15;40,5216
2013-09-16;68,5849
2013-09-17;53,7388
2013-09-18;38,7582
2013-09-19;31,3224
2013-09-20;34,8010
2013-09-21;37,4353
2013-09-22;25,8217
2013-09-23;42,5072
2013-09-24;59,0034
2013-09-25;49,8940
2013-09-26;37,7362
2013-09-27;43,8702
2013-09-28;50,6607
2013-09-29;35,9321
2013-09-30;41,6134
2013-10-01;36,0202
2013-10-02;29,9393
2013-10-03;45,6608
2013-10-04;32,9160
2013-10-05;30,9006
2013-10-06;32,5924
2013-10-07;34,3135
2013-10-08;23,2776
2013-10-09;30,7327
2013-10-10;32,7159
2013-10-11;32,5695
2013-10-12;26,6469
2013-10-13;25,5046
2013-10-14;35,4603
2013-10-15;29,8354
2013-10-16;32,7227
2013-10-17;34,0821
2013-10-18;26,3843
2013-10-19;21,8616
2013-10-20;15,7796
2013-10-21;17,8670
2013-10-22;17,4663
2013-10-23;16,6122
2013-10-24;26,4564
2013-10-25;32,4066
2013-10-26;26,5374
2013-10-27;28,6532
2013-10-28;38,1095
2013-10-29;26,4046
2013-10-30;31,6234
2013-10-31;24,7520
2013-11-01;21,5457
2013-11-02;18,6974
2013-11-03;17,7486
2013-11-04;20,7533
2013-11-05;30,5104
2013-11-06;23,4714
2013-11-07;17,7441
2013-11-08;18,7949
2013-11-09;23,6650
2013-11-10;22,1207
2013-11-11;20,0962
2013-11-12;23,1829
2013-11-13;31,8544
2013-11-14;18,5022
2013-11-15;23,5653
2013-11-16;21,9648
2013-11-17;24,6832
2013-11-18;24,7501
2013-11-19;29,8432
2013-11-20;37,2990
2013-11-21;40,3329
2013-11-22;37,1578
2013-11-23;28,1709
2013-11-24;15,5586
2013-11-25;28,0158
2013-11-26;34,0066
2013-11-27;32,5521
2013-11-28;19,6754
2013-11-29;26,1264
2013-11-30;24,2267
2013-12-01;26,2797
2013-12-02;26,2334
2013-12-03;37,3715
2013-12-04;27,2814
2013-12-05;22,7929
2013-12-06;30,7686
2013-12-07;38,5814
2013-12-08;32,5258
2013-12-09;25,9078
2013-12-10;32,2075
2013-12-11;31,4029
2013-12-12;29,9290
2013-12-13;28,6171
2013-12-14;32,4631
2013-12-15;27,1401
2013-12-16;37,2113
2013-12-17;34,1754
2013-12-18;36,1320
2013-12-19;39,2144
2013-12-20;33,8895
2013-12-21;30,9392
2013-12-22;31,2293
2013-12-23;52,8078
2013-12-24;31,1461
2013-12-25;33,0975
2013-12-26;26,5812
2013-12-27;30,4239
2013-12-28;35,4575
2013-12-29;22,8508
2013-12-30;27,3454
2013-12-31;27,8961
2014-01-01;27,8081
2014-01-02;34,2156
2014-01-03;30,3827
2014-01-04;66,0088
2014-01-05;37,4133
2014-01-06;39,5344
2014-01-07;37,9164
2014-01-08;34,7901
2014-01-09;24,2497
2014-01-10;25,7595
2014-01-11;31,8132
