FECHA (YYMMDD);Registros validados
2013-01-11;5.953
2013-01-11;4.59299
2013-01-11;6.634
2013-01-11;9.35999
2013-01-11;9.35999
2013-01-11;14.12
2013-01-11;12.75
2013-01-11;12.07
2013-01-11;10.71
2013-01-11;8.67
2013-01-11;7.989
2013-01-11;9.34998
2013-01-11;10.71
2013-01-11;12.07
2013-01-11;7.987
2013-01-11;5.269
2013-01-11;6.629
2013-01-11;5.269
2013-01-11;5.95
2013-01-11;5.951
2013-01-12;3.911
2013-01-12;3.911
2013-01-12;1.87
2013-01-12;3.231
2013-01-12;3.912
2013-01-12;6.974
2013-01-12;7.995
2013-01-12;3.912
2013-01-12;4.592
2013-01-12;8.67
2013-01-12;7.992
2013-01-12;7.309
2013-01-12;6.96899
2013-01-12;7.309
2013-01-12;8.67
2013-01-12;8.67
2013-01-12;10.03
2013-01-12;10.71
2013-01-12;10.71
2013-01-12;11.39
2013-01-12;10.03
2013-01-12;9.34998
2013-01-12;9.68999
2013-01-12;10.03
2013-01-13;10.03
2013-01-13;10.03
2013-01-13;10.03
2013-01-13;10.03
2013-01-13;10.03
2013-01-13;10.72
2013-01-13;10.04
2013-01-13;7.994
2013-01-13;5.272
2013-01-13;5.271
2013-01-13;7.312
2013-01-13;6.632
2013-01-13;6.28999
2013-01-13;7.989
2013-01-13;7.309
2013-01-13;8.67
2013-01-13;10.71
2013-01-13;7.987
2013-01-13;4.589
2013-01-13;7.309
2013-01-13;7.989
2013-01-13;5.949
2013-01-13;5.951
2013-01-13;5.951
2013-01-14;6.632
2013-01-14;4.592
2013-01-14;5.272
2013-01-14;7.313
2013-01-14;5.272
2013-01-14;4.592
2013-01-14;7.994
2013-01-14;8.67
2013-01-14;6.632
2013-01-14;6.632
2013-01-14;8.67
2013-01-14;6.972
2013-01-14;7.31
2013-01-14;7.309
2013-01-14;14.79
2013-01-14;13.43
2013-01-14;12.07
2013-01-14;11.39
2013-01-14;10.03
2013-01-14;9.34998
2013-01-14;10.03
2013-01-14;9.34998
2013-01-14;9.34998
2013-01-14;6.632
2013-01-15;5.952
2013-01-15;8.67
2013-01-15;9.35999
2013-01-15;10.72
2013-01-15;11.4
2013-01-15;10.72
2013-01-15;18.88
2013-01-15;17.52
2013-01-15;12.76
2013-01-15;14.12
2013-01-15;16.83
2013-01-15;27.04
2013-01-15;20.91
2013-01-15;12.07
2013-01-15;20.23
2013-01-15;20.91
2013-01-15;21.59
2013-01-15;19.56
2013-01-15;22.29
2013-01-15;12.08
2013-01-15;12.08
2013-01-15;10.04
2013-01-15;8.67998
2013-01-15;7.99899
2013-01-16;5.95599
2013-01-16;6.297
2013-01-16;6.63699
2013-01-16;5.95599
