FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090529;0000;;;59,7282;
090530;0000;;;279,049;
090531;0000;;;91,2507;
090601;0000;;;73,2054;
090602;0000;;;41,8403;
090603;0000;;;71,6802;
090604;0000;;;214,637;
090605;0000;;;69,0533;
090606;0000;;;73,6671;
090607;0000;;;35,5107;
090608;0000;;;65,8093;
090609;0000;;;38,2554;
090610;0000;;;68,4824;
090611;0000;;;123,209;
090612;0000;;;84,101;
090613;0000;;;47,4599;
090614;0000;;;42,1625;
090615;0000;;;80,4659;
090616;0000;;;84,5886;
090617;0000;;;10,3261;
090618;0000;;;6,29539;
090619;0000;;;28,1732;
090620;0000;;;102,708;
090621;0000;;;82,4349;
090622;0000;;;34,2094;
090623;0000;;;36,73;
090624;0000;;;69,2544;
090625;0000;;;44,7284;
090626;0000;;;123,246;
090627;0000;;;37,641;
090628;0000;;;7,54337;
090629;0000;;;19,0346;
090630;0000;;;23,7249;
090701;0000;;;13,5277;
090702;0000;;;16,6586;
090703;0000;;;90,0129;
090704;0000;;;7,13279;
090705;0000;;;22,032;
090706;0000;;;10,9774;
090707;0000;;;26,473;
090708;0000;;;29,7245;
090709;0000;;;35,7668;
090710;0000;;;31,4153;
090711;0000;;;57,7388;
090712;0000;;;69,1653;
090713;0000;;;25,431;
090714;0000;;;99,5972;
090715;0000;;;60,9182;
090716;0000;;;155,182;
090717;0000;;;57,3159;
090718;0000;;;29,1926;
090719;0000;;;39,564;
090720;0000;;;74,9202;
090721;0000;;;49,7839;
090722;0000;;;83,437;
090723;0000;;;66,3228;
090724;0000;;;47,7582;
090725;0000;;;36,6491;
090726;0000;;;43,6181;
090727;0000;;;83,3423;
090728;0000;;;94,8479;
090729;0000;;;74,3103;
090730;0000;;;107,075;
090731;0000;;;38,8959;
090801;0000;;;86,9052;
090802;0000;;;82,6877;
090803;0000;;;41,4252;
090804;0000;;;14,5676;
090805;0000;;;15,0291;
090806;0000;;;49,4271;
090807;0000;;;33,7151;
090808;0000;;;43,3536;
090809;0000;;;57,9884;
090810;0000;;;61,6278;
090811;0000;;;49,775;
090812;0000;;;33,8021;
090813;0000;;;37,7451;
090814;0000;;;12,9356;
090815;0000;;;26,4799;
090816;0000;;;24,9286;
090817;0000;;;18,7158;
090818;0000;;;14,8192;
090819;0000;;;6,76549;
090820;0000;;;17,1411;
090821;0000;;;35,2139;
090822;0000;;;23,9489;
090823;0000;;;29,2133;
090824;0000;;;27,5901;
090825;0000;;;39,5247;
090826;0000;;;42,6897;
090827;0000;;;28,951;
090828;0000;;;29,2431;
090829;0000;;;22,5969;
090830;0000;;;30,6937;
090831;0000;;;35,2716;
090901;0000;;;39,7969;
090902;0000;;;49,3688;
090903;0000;;;49,2051;
090904;0000;;;47,027;
090905;0000;;;10,049;
090906;0000;;;19,2483;
090907;0000;;;54,5308;
090908;0000;;;24,0956;
