FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
080816;0000;;;74,0249;
080817;0000;;;104,642;
080818;0000;;;104,8;
080819;0000;;;21,9583;
080820;0000;;;79,4041;
080821;0000;;;90,8416;
080822;0000;;;101,676;
080823;0000;;;47,4135;
080824;0000;;;18,0166;
080825;0000;;;10,2375;
080826;0000;;;28,3635;
080827;0000;;;14,5958;
080828;0000;;;45,7708;
080829;0000;;;62,5197;
080830;0000;;;34,6333;
080831;0000;;;7,84583;
080901;0000;;;11,9583;
080902;0000;;;23,2885;
080903;0000;;;54,3708;
080904;0000;;;49,776;
080905;0000;;;41,8541;
080906;0000;;;49,5427;
080907;0000;;;49,3801;
080908;0000;;;53,3291;
080909;0000;;;72,2843;
080910;0000;;;71,7416;
080911;0000;;;26,1125;
080912;0000;;;38,2625;
080913;0000;;;87,6915;
080914;0000;;;89,6874;
080915;0000;;;45,3468;
080916;0000;;;50,5853;
080917;0000;;;27,8593;
080918;0000;;;23,9208;
080919;0000;;;35,0166;
080920;0000;;;29,0375;
080921;0000;;;41,1708;
080922;0000;;;26,8083;
080923;0000;;;31,65;
080924;0000;;;43,7468;
080925;0000;;;51,8218;
080926;0000;;;28,4802;
080927;0000;;;28,9833;
080928;0000;;;32,6718;
080929;0000;;;46,1416;
080930;0000;;;28,35;
081001;0000;;;24,475;
081002;0000;;;37,1;
081003;0000;;;20,5791;
081004;0000;;;19,5541;
081005;0000;;;16,6833;
081006;0000;;;25,9041;
081007;0000;;;43,5666;
081008;0000;;;34,0791;
081009;0000;;;31,275;
081010;0000;;;20,3208;
081011;0000;;;13,775;
081012;0000;;;26,5958;
081013;0000;;;26,8041;
081014;0000;;;30,1;
081015;0000;;;28,7291;
081016;0000;;;30,6541;
081017;0000;;;31,575;
081018;0000;;;26,4583;
081019;0000;;;19,3375;
081020;0000;;;23,6385;
081021;0000;;;13,9375;
081022;0000;;;21,8416;
081023;0000;;;22,2083;
081024;0000;;;37,9083;
081025;0000;;;40,2041;
081026;0000;;;22,3843;
081027;0000;;;33,3666;
081028;0000;;;13,1917;
081029;0000;;;22,8083;
081030;0000;;;28,6385;
081031;0000;;;25,0958;
081101;0000;;;18,7583;
081102;0000;;;23,0042;
081103;0000;;;35,275;
081104;0000;;;28,8792;
081105;0000;;;26,625;
081106;0000;;;26,2458;
081107;0000;;;;
081108;0000;;;;
081109;0000;;;;
081110;0000;;;;
081111;0000;;;;
081112;0000;;;;
081113;0000;;;;
081114;0000;;;;
081115;0000;;;26,3083;
081116;0000;;;;
081117;0000;;;;
081118;0000;;;37,7916;
081119;0000;;;33,8791;
081120;0000;;;;
081121;0000;;;;
081122;0000;;;20,4041;
081123;0000;;;18,9083;
081124;0000;;;27,3375;
081125;0000;;;;
081126;0000;;;;
081127;0000;;;;
081128;0000;;;19,7791;
081129;0000;;;;
081130;0000;;;;
081201;0000;;;;
081202;0000;;;;
081203;0000;;;75,9291;
081204;0000;;;83,854;
081205;0000;;;84,7124;
081206;0000;;;60,9218;
081207;0000;;;57,2864;
081208;0000;;;65,6885;
081209;0000;;;76,9634;
081210;0000;;;88,2384;
081211;0000;;;78,4385;
081212;0000;;;85,5978;
081213;0000;;;92,851;
081214;0000;;;105,3;
081215;0000;;;98,7828;
081216;0000;;;56,45;
081217;0000;;;64,8875;
081218;0000;;;69,1437;
081219;0000;;;141,8;
081220;0000;;;;
081221;0000;;;;
081222;0000;;;;
081223;0000;;;;
081224;0000;;;;
081225;0000;;;;
081226;0000;;;;
081227;0000;;;;
081228;0000;;;;
081229;0000;;;;
081230;0000;;;;
081231;0000;;;;
090101;0000;;;;
090102;0000;;;;
090103;0000;;;;
090104;0000;;;;
090105;0000;;;;
090106;0000;;;;
090107;0000;;;;
090108;0000;;;;
090109;0000;;;;
090110;0000;;;;
090111;0000;;;;
090112;0000;;;;
090113;0000;;;;
090114;0000;;;;
090115;0000;;;;
090116;0000;;;;
090117;0000;;;;
090118;0000;;;;
090119;0000;;;;
090120;0000;;;;
090121;0000;;;;
090122;0000;;;;
090123;0000;;;;
090124;0000;;;;
090125;0000;;;;
090126;0000;;;;
090127;0000;;;;
090128;0000;;;;
090129;0000;;;;
090130;0000;;;;
090131;0000;;;;
090201;0000;;;;
090202;0000;;;;
090203;0000;;;;
090204;0000;;;;
090205;0000;;;;
090206;0000;;;;
090207;0000;;;;
090208;0000;;;;
090209;0000;;;;
090210;0000;;;;
090211;0000;;;;
090212;0000;;;;
090213;0000;;;;
090214;0000;;;;
090215;0000;;;;
090216;0000;;;;
090217;0000;;;;
090218;0000;;;;
090219;0000;;;;
090220;0000;;;;
090221;0000;;;;
090222;0000;;;;
090223;0000;;;;
090224;0000;;;;
090225;0000;;;;
090226;0000;;;;
090227;0000;;;;
090228;0000;;;;
090301;0000;;;;
090302;0000;;;;
090303;0000;;;;
090304;0000;;;;
090305;0000;;;;
090306;0000;;;;
090307;0000;;;;
090308;0000;;;;
090309;0000;;;;
090310;0000;;;;
090311;0000;;;;
090312;0000;;;;
090313;0000;;;;
090314;0000;;;;
090315;0000;;;;
090316;0000;;;;
090317;0000;;;;
090318;0000;;;;
090319;0000;;;;
090320;0000;;;;
090321;0000;;;;
090322;0000;;;;
090323;0000;;;49,4888;
090324;0000;;;62,0472;
090325;0000;;;44,3769;
090326;0000;;;55,9193;
090327;0000;;;77,3885;
090328;0000;;;47,5253;
090329;0000;;;26,1527;
090330;0000;;;22,7675;
090331;0000;;;28,6964;
090401;0000;;;63,4191;
090402;0000;;;11,3528;
090403;0000;;;21,0343;
090404;0000;;;33,8458;
090405;0000;;;30,2037;
090406;0000;;;31,4179;
090407;0000;;;26,0669;
090408;0000;;;28,5138;
090409;0000;;;49,6938;
090410;0000;;;41,2227;
090411;0000;;;40,3766;
090412;0000;;;31,8159;
090413;0000;;;52,1437;
090414;0000;;;75,7917;
090415;0000;;;111,551;
090416;0000;;;57,3667;
090417;0000;;;47,7642;
090418;0000;;;35,808;
090419;0000;;;35,322;
090420;0000;;;59,0117;
090421;0000;;;52,7795;
090422;0000;;;53,8689;
090423;0000;;;47,7706;
090424;0000;;;36,3797;
090425;0000;;;33,2367;
090426;0000;;;26,2187;
090427;0000;;;65,0293;
090428;0000;;;90,7117;
090429;0000;;;75,0305;
090430;0000;;;79,2489;
090501;0000;;;100,659;
090502;0000;;;133,667;
090503;0000;;;57,9593;
090504;0000;;;27,8694;
090505;0000;;;30,9301;
090506;0000;;;65,625;
090507;0000;;;128,403;
090508;0000;;;120,512;
090509;0000;;;64,2687;
090510;0000;;;35,0537;
090511;0000;;;23,4655;
090512;0000;;;51,4261;
090513;0000;;;74,2246;
090514;0000;;;127,756;
090515;0000;;;169,586;
090516;0000;;;46,5398;
090517;0000;;;87,7026;
090518;0000;;;91,8175;
090519;0000;;;138,261;
090520;0000;;;37,3488;
090521;0000;;;28,8343;
090522;0000;;;34,1218;
090523;0000;;;42,6567;
090524;0000;;;40,6337;
090525;0000;;;87,7406;
090526;0000;;;58,6558;
090527;0000;;;64,7559;
090528;0000;;;100,751;
090529;0000;;;103,341;
090530;0000;;;201,521;
090531;0000;;;131,435;
090601;0000;;;111,473;
090602;0000;;;91,449;
090603;0000;;;120,795;
090604;0000;;;178,398;
090605;0000;;;122,796;
090606;0000;;;91,4755;
090607;0000;;;45,7074;
090608;0000;;;86,1652;
090609;0000;;;46,6844;
090610;0000;;;111,353;
090611;0000;;;164,323;
090612;0000;;;124,404;
090613;0000;;;65,5944;
090614;0000;;;62,2608;
090615;0000;;;128,555;
090616;0000;;;97,8344;
090617;0000;;;14,1096;
090618;0000;;;6,93151;
090619;0000;;;39,5452;
090620;0000;;;148,667;
090621;0000;;;96,4396;
090622;0000;;;39,9238;
090623;0000;;;50,8181;
090624;0000;;;104,628;
090625;0000;;;68,8624;
090626;0000;;;172,672;
090627;0000;;;50,3148;
090628;0000;;;7,63366;
090629;0000;;;33,2418;
090630;0000;;;36,31;
090701;0000;;;23,2854;
090702;0000;;;33,5898;
090703;0000;;;119,68;
090704;0000;;;11,7994;
090705;0000;;;42,5189;
090706;0000;;;23,7845;
090707;0000;;;35,8705;
090708;0000;;;42,8981;
090709;0000;;;51,6716;
090710;0000;;;45,4737;
090711;0000;;;84,5054;
090712;0000;;;94,881;
090713;0000;;;38,1794;
090714;0000;;;135,561;
090715;0000;;;98,4883;
090716;0000;;;231,605;
090717;0000;;;76,8813;
090718;0000;;;48,3712;
090719;0000;;;49,9185;
090720;0000;;;118,303;
090721;0000;;;72,0348;
090722;0000;;;94,6283;
090723;0000;;;63,3937;
090724;0000;;;54,8047;
090725;0000;;;46,9848;
090726;0000;;;51,8032;
090727;0000;;;140,639;
090728;0000;;;104,561;
090729;0000;;;105,795;
090730;0000;;;154,732;
090731;0000;;;42,7057;
090801;0000;;;142,098;
090802;0000;;;102,812;
090803;0000;;;51,9523;
090804;0000;;;21,2688;
090805;0000;;;29,3875;
090806;0000;;;76,3556;
090807;0000;;;43,4829;
090808;0000;;;66,6471;
090809;0000;;;83,1469;
090810;0000;;;96,4095;
090811;0000;;;80,5948;
090812;0000;;;54,3892;
090813;0000;;;58,653;
090814;0000;;;25,1545;
090815;0000;;;49,5444;
090816;0000;;;37,1342;
090817;0000;;;31,8803;
090818;0000;;;18,3034;
090819;0000;;;7,14871;
090820;0000;;;37,7234;
090821;0000;;;43,4138;
090822;0000;;;38,2939;
090823;0000;;;39,7576;
090824;0000;;;50,6972;
090825;0000;;;76,7513;
090826;0000;;;61,6318;
090827;0000;;;42,8359;
090828;0000;;;47,5145;
090829;0000;;;26,1745;
090830;0000;;;45,673;
090831;0000;;;64,9945;
090901;0000;;;66,1887;
090902;0000;;;71,5333;
090903;0000;;;79,6399;
090904;0000;;;61,3941;
090905;0000;;;11,4187;
090906;0000;;;34,1941;
090907;0000;;;71,6298;
090908;0000;;;33,2245;
090909;0000;;;27,4374;
